failures,30_chance,50_chance,30_chance_per_cost,50_chance_per_cost,always_30_expected_cost,always_50_expected_cost,optimal_expected_cost,optimal_next_scroll
0,0.3,0.5,0.3,0.3333333333333333,2.7071083270287812,2.7882949753124997,2.7071083270287812,30% scroll
1,0.35,0.55,0.35,0.3666666666666667,2.4387261814696877,2.576589950625,2.4387261814696877,30% scroll
2,0.4,0.6,0.4,0.39999999999999997,2.21342489456875,2.3924221125,2.21342489456875,30% scroll
3,0.45,0.65,0.45,0.43333333333333335,2.02237482428125,2.2310552812499997,2.02237482428125,30% scroll
4,0.5,0.7,0.5,0.4666666666666666,1.858863316875,2.0887293749999998,1.858863316875,30% scroll
5,0.55,0.75,0.55,0.5,1.71772663375,1.9624312499999998,1.71772663375,30% scroll
6,0.6000000000000001,0.8,0.6000000000000001,0.5333333333333333,1.594948075,1.8497249999999998,1.594948075,30% scroll
7,0.65,0.8500000000000001,0.65,0.5666666666666668,1.4873701875,1.7486249999999999,1.4873701875,30% scroll
8,0.7,0.9,0.7,0.6,1.3924862500000001,1.6575,1.3924862500000001,30% scroll
9,0.75,0.95,0.75,0.6333333333333333,1.3082875,1.5750000000000002,1.3082875,30% scroll
10,0.8,1.0,0.8,0.6666666666666666,1.23315,1.5,1.23315,30% scroll
11,0.8500000000000001,1.0,0.8500000000000001,0.6666666666666666,1.1657499999999998,1.5,1.1657499999999998,30% scroll
12,0.9000000000000001,1.0,0.9000000000000001,0.6666666666666666,1.105,1.5,1.105,30% scroll
13,0.95,1.0,0.95,0.6666666666666666,1.05,1.5,1.05,30% scroll
14,1.0,1.0,1.0,0.6666666666666666,1.0,1.5,1.0,30% scroll
