idx	type	completed	inProgress	tracked	title
1	990	false	true	false	An Unexpected Messenger
2	1000	false	true	false	The Death of a Hero
3	1001	false	true	false	The Sages' Council
4	1005	false	true	false	Mikael Ynga's Masterpiece
5	1401	false	true	false	Cannons for Questions
6	1929	false	true	false	The Hidden Temple
7	1932	false	true	false	Looking to the Future
8	1934	false	true	false	Delivered at Last
9	1937	false	true	false	Armored Ambassador
10	3484	false	true	false	The Fallen Glider
11	3485	false	true	false	Lady Ynga's Favor
12	3486	false	true	false	A Daughter's Pride
13	3487	false	true	false	A Hero Scorned
14	3488	false	true	false	A Mountain Recluse
15	3489	false	true	false	Ynga's Schematics
16	3490	false	true	false	The Chain of Command
17	3492	false	true	false	A Famous Inventor
18	3493	false	true	false	The Great Temple of Shatigon
19	3494	false	true	false	An Offer of Aid
20	3495	false	true	false	A Mission of Mercy
21	3496	false	true	false	Warehouse Jailbreak
22	3497	false	true	false	An Eyewitness Account
23	3498	false	true	false	Clues to the Past
24	3499	false	true	false	The House of the Artificer
25	3500	false	true	false	The Baron's Frustration
26	3501	false	true	false	A Timely Explanation
27	3502	false	true	false	Faerie Visions
28	3562	false	true	false	The Golem Laboratory
29	3563	false	true	false	Fractured Memories
30	3565	false	true	false	The Giant's Canyon
31	3566	false	true	false	A Thorny Problem
32	3567	false	true	false	An Elf in the Canyon
33	3992	false	true	false	The Minotaur Village
34	4408	false	true	false	An Unconventional Rescue
35	5040	false	true	false	Hit and Run
36	5773	false	true	false	At the Feet of Giants
37	5781	false	true	false	The Road to Andelph
38	5782	false	true	false	Ticket to Ride
39	5783	false	true	false	The Path of the Postmaster
40	5784	false	true	false	Snow Saplings
41	5785	false	true	false	Icefang Captives
42	5786	false	true	false	Harassing the Hunters
43	5787	false	true	false	A Fearsome Fanatic
44	5788	false	true	false	Suspicious Behavior
45	5789	false	true	false	Bombs on the Bridge
46	5790	false	true	false	The Missing Postman
47	5791	false	true	false	Groundling Infestation
48	5792	false	true	false	Frigid Flowers
49	5793	false	true	false	Cask Carry
50	5794	false	true	false	Astra Attacks
51	5795	false	true	false	A Willing Prisoner
52	5796	false	true	false	A Splash of Sobriety
53	5797	false	true	false	The Lost Letter
54	5798	false	true	false	A New Threat
55	5799	false	true	false	Seed Mine Slaughter
56	5800	false	true	false	Enter the Archives
57	5801	false	true	false	Stolen Records
58	5802	false	true	false	Powerful Friends
59	5803	false	true	false	The Lost Laboratory
60	5804	false	true	false	Heretical Technology
