idx	type	completed	inProgress	tracked	title
1	1112	false	true	false	An Ancient Tradition
2	1113	false	true	false	The Road to Fortune-Telling
3	1117	false	true	false	Quarry Cleanup
4	1140	false	true	false	Contamination Retaliation
5	2349	false	true	false	Contacting the Shadowhawks
6	2350	false	true	false	Your First Contact
7	2354	false	true	false	A Morbid Memento
8	3505	false	true	false	A Missing Dog
9	3506	false	true	false	A Grim Discovery
10	3507	false	true	false	The Mysterious Box
11	3508	false	true	false	Dangerous Contents
12	3509	false	true	false	Shady Dealings
13	3510	false	true	false	A Respectable Businessman
14	3511	false	true	false	A Pleasant Conversation
15	3512	false	true	false	Playing it Safe
16	3513	false	true	false	Meeting Haman
17	3514	false	true	false	Honor Amongst Thieves
18	3515	false	true	false	Escape from Serpent's Pass
19	3516	false	true	false	Ruthless Tactics
20	3517	false	true	false	The Path of Vengeance
21	3518	false	true	false	Innocent Victims
22	3519	false	true	false	Dangerous Cargo
23	3520	false	true	false	Baht's Invitation
24	3521	false	true	false	Joining the Shadowhawks
25	3522	false	true	false	Promised Payment
26	3523	false	true	false	Counterintelligence
27	3524	false	true	false	Into the Field
28	3525	false	true	false	The Mayor of Tigerseye
29	3526	false	true	false	Feigned Formalities
30	3527	false	true	false	Friends in High Places
31	3528	false	true	false	Raiding the Shrine
32	3529	false	true	false	Go to Ground
33	3530	false	true	false	A Second Chance
34	3531	false	true	false	Going Rogue
35	3532	false	true	false	Terror in the Temple
36	3533	false	true	false	Mission Accomplished
37	3534	false	true	false	A Shadowhawk at Last
38	3535	false	true	false	Vincenzio's Fate
39	3536	false	true	false	Vincenzio's Trail
40	3537	false	true	false	A City at Risk
41	3538	false	true	false	To the City of Towers
42	3539	false	true	false	The Origin of the Iron Crescent
43	3540	false	true	false	The Helm of Kyrios
44	3541	false	true	false	Bladewing Delivery
45	3542	false	true	false	Blunt Instrument
46	3543	false	true	false	The Middleman
47	3544	false	true	false	The Mad Scholar
48	3545	false	true	false	Laying the Bait
