idx	type	completed	inProgress	tracked	title
1	330	false	true	false	Exciting News
2	1424	false	true	false	An Unexpected Reunion
3	1525	false	true	false	The Bloodhands' Agenda
4	2255	false	true	false	The Golden Mark
5	2256	false	true	false	Divine Intervention
6	2257	false	true	false	Warning the Villagers
7	2258	false	true	false	An Urgent Message
8	2259	false	true	false	The General's Orders
9	2260	false	true	false	Battle by the Bay
10	2261	false	true	false	Truth Extraction
11	2262	false	true	false	The Search for Sloane
12	2263	false	true	false	A Deadly Plot
13	2264	false	true	false	Sloane's Secret
14	2265	false	true	false	A Dead Man's Wish
15	2266	false	true	false	Flora's Lament
16	2485	false	true	false	The Price of Friendship
17	2486	false	true	false	Tragedy in Riverspan
18	2488	false	true	false	A Mother's Tale
19	2489	false	true	false	The Wizard Malphus
20	2490	false	true	false	The Hunt Is On
21	2491	false	true	false	To the Hellsdame Oasis
22	2492	false	true	false	The Bloodhand Camp
23	2494	false	true	false	The Bloodhands' Warehouse
24	2495	false	true	false	A Message from Marian
25	2496	false	true	false	A Sudden Farewell
26	2498	false	true	false	The Forest of the Dead
27	2531	false	true	false	The Prophet Terrien
28	2532	false	true	false	A Mysterious Visitor
29	3503	false	true	false	Ahead of the Hunters
30	3573	false	true	false	A Common Past
31	3985	false	true	false	Meeting the Chosen
32	3986	false	true	false	An Endless War
33	3987	false	true	false	The Search for Atalantia
34	3988	false	true	false	The Ghost of Sloane
35	3989	false	true	false	Not Quite Retired
36	3990	false	true	false	For Marian
37	3991	false	true	false	Battle with Malcolm
38	3993	false	true	false	Runebearer
39	4393	false	true	false	Malcolm's Madness
40	4394	false	true	false	A Child's Plight
41	4396	false	true	false	The Key to Your Past
42	4397	false	true	false	Secrets in Sandcloud
43	4398	false	true	false	Finding Nui's Chosen
44	4399	false	true	false	The Arden Guard's Stronghold
45	4400	false	true	false	To the Hereafter Gate
46	4402	false	true	false	Zaltan's Test
47	4403	false	true	false	Zaltan's Approval
48	4404	false	true	false	A Strange Request
49	4405	false	true	false	The Bloodhand Farm
50	4406	false	true	false	A Day at the Park
51	4407	false	true	false	Chasing the Ring
52	4409	false	true	false	Lucius Quinto
53	4410	false	true	false	Power Over Life and Death
54	4411	false	true	false	Tying Up Loose Ends
55	6577	false	true	false	A Test of Strength
56	6580	false	true	false	Kyrios Worshippers
57	6584	false	true	false	Security Concerns
58	6615	false	true	false	The Final Test
59	6696	false	true	false	Broken Supply Lines
60	6697	false	true	false	Finding Sir Livek
61	6698	false	true	false	A Suspicious Death
62	6699	false	true	false	An Emergency Meeting
63	6700	false	true	false	A Mysterious Ally
64	6701	false	true	false	A Shocking Truth
65	6702	false	true	false	Rescue Mission
66	6703	false	true	false	A Secret Meeting
67	6704	false	true	false	The End of the Line
68	6705	false	true	false	The Golden Ruins
69	6706	false	true	false	The Captain's Doubts
70	6707	false	true	false	Primary Suspects
71	6708	false	true	false	Tracking the Traitor
72	6709	false	true	false	The Poisoned Scout
73	6710	false	true	false	The Truth at Last
74	6711	false	true	false	Searching the Ruins
75	6712	false	true	false	The Silent Watcher
76	6713	false	true	false	A Puzzling Prophecy
77	6714	false	true	false	Zeladian the Necromancer
78	6715	false	true	false	A Strained Alliance
79	7115	false	true	false	Your Legend Continues
80	7119	false	true	false	A Secret Mission
81	7123	false	true	false	Heading to Halcyona
82	7125	false	true	false	Traveling on Business
83	7127	false	true	false	A Secret in Sun's End
84	7128	false	true	false	An Agent in Anarchi
85	7129	false	true	false	The Traitor in the Tower
86	7130	false	true	false	The Chimera Agent
87	7131	false	true	false	A Dangerous Antidote
88	7132	false	true	false	Memory Mender
89	7133	false	true	false	Innocents In Danger
90	7134	false	true	false	The Missing Child
91	7135	false	true	false	Precious Cargo
92	7136	false	true	false	Gathering Information
93	7137	false	true	false	Across the Sea
94	7138	false	true	false	A Scented Signal
95	7139	false	true	false	A Moving Target
96	7140	false	true	false	The Specialist
97	7141	false	true	false	Captives and Coercion
98	7142	false	true	false	Ayle's Fate
99	7143	false	true	false	A Custom Solution
100	7144	false	true	false	Arra's Ingredients
101	7145	false	true	false	The Captured Child
102	7146	false	true	false	The Training Camp
103	7147	false	true	false	One Last Job
104	7148	false	true	false	The Souleye's Location
105	7149	false	true	false	The Riven Gates
106	7466	false	true	false	Joining the Crimson Watch
107	8536	false	true	false	No Man Left Behind
108	8537	false	true	false	Friends and Acquaintances
109	8538	false	true	false	Reclaiming Reedwind
110	8539	false	true	false	Above Your Pay Grade
111	8540	false	true	false	Unquestioned Authority
112	8541	false	true	false	Lock and Key
113	8543	false	true	false	A Good Reputation
114	8544	false	true	false	A Deadly Meeting
115	8545	false	true	false	Silver Lining
116	8546	false	true	false	No Time to Rest
117	8547	false	true	false	A Prophetic Warning
118	8548	false	true	false	Missing Information
119	8549	false	true	false	An Ancient Language
120	8550	false	true	false	Lost Souls
121	8551	false	true	false	The Leviathan's Essence
122	8552	false	true	false	Souls Unbound
123	8553	false	true	false	A New Weapon
124	8554	false	true	false	Battle Preparations
125	8555	false	true	false	Crimson Watch Defense Preparations
126	8556	false	true	false	To Aegis Island
127	8557	false	true	false	Island Monsters
128	8558	false	true	false	The Great Seal of Erenor
129	9009	false	true	false	A Call for Help
130	9115	false	true	false	Defeat the Giant Abomination
131	9173	false	true	false	The Call of the Hiram
132	9174	false	true	false	Joining Forces
133	9175	false	true	false	The Amaitan Highlands
134	9176	false	true	false	Purifying Energy
135	9178	false	true	false	An Ominous Cave
136	9179	false	true	false	A Mysterious Cube
137	9180	false	true	false	To the Nemi River
138	9181	false	true	false	Nightmarish Encounter
139	9182	false	true	false	Disguise Mission
140	9183	false	true	false	Infiltrating the Worship Site
