idx	type	completed	inProgress	tracked	title
1	6577	false	true	false	A Test of Strength
2	6580	false	true	false	Kyrios Worshippers
3	6584	false	true	false	Security Concerns
4	6615	false	true	false	The Final Test
5	6696	false	true	false	Broken Supply Lines
6	6697	false	true	false	Finding Sir Livek
7	6698	false	true	false	A Suspicious Death
8	6699	false	true	false	An Emergency Meeting
9	6700	false	true	false	A Mysterious Ally
10	6701	false	true	false	A Shocking Truth
11	6702	false	true	false	Rescue Mission
12	6703	false	true	false	A Secret Meeting
13	6704	false	true	false	The End of the Line
14	6705	false	true	false	The Golden Ruins
15	6706	false	true	false	The Captain's Doubts
16	6707	false	true	false	Primary Suspects
17	6708	false	true	false	Tracking the Traitor
18	6709	false	true	false	The Poisoned Scout
19	6710	false	true	false	The Truth at Last
20	6711	false	true	false	Searching the Ruins
21	6712	false	true	false	The Silent Watcher
22	6713	false	true	false	A Puzzling Prophecy
23	6714	false	true	false	Zeladian the Necromancer
24	6715	false	true	false	A Strained Alliance
25	7122	false	true	false	A Secret Mission
26	7124	false	true	false	Heading to Halcyona
27	7126	false	true	false	Traveling on Business
28	7127	false	true	false	A Secret in Sun's End
29	7128	false	true	false	An Agent in Anarchi
30	7129	false	true	false	The Traitor in the Tower
31	7130	false	true	false	The Chimera Agent
32	7131	false	true	false	A Dangerous Antidote
33	7132	false	true	false	Memory Mender
34	7133	false	true	false	Innocents In Danger
35	7134	false	true	false	The Missing Child
36	7135	false	true	false	Precious Cargo
37	7136	false	true	false	Gathering Information
38	7137	false	true	false	Across the Sea
39	7138	false	true	false	A Scented Signal
40	7139	false	true	false	A Moving Target
41	7140	false	true	false	The Specialist
42	7141	false	true	false	Captives and Coercion
43	7142	false	true	false	Ayle's Fate
44	7143	false	true	false	A Custom Solution
45	7144	false	true	false	Arra's Ingredients
46	7145	false	true	false	The Captured Child
47	7146	false	true	false	The Training Camp
48	7147	false	true	false	One Last Job
49	7148	false	true	false	The Souleye's Location
50	7149	false	true	false	The Riven Gates
51	7466	false	true	false	Joining the Crimson Watch
52	8112	false	true	false	Immortal Conqueror
53	8115	false	true	false	Too Late
54	8116	false	true	false	Calm and Courteous
55	8117	false	true	false	A Nobleman's Gift
56	8118	false	true	false	Free Labor
57	8119	false	true	false	Mind Your Manners
58	8120	false	true	false	Trash to Treasure
59	8121	false	true	false	Forging Honor
60	8122	false	true	false	A Seal and Disapproval
61	8123	false	true	false	A Fair Trade, Harani-Style
62	8124	false	true	false	Continuing Concerns
63	8125	false	true	false	A Hope Fulfilled
64	8126	false	true	false	Always Let Your Conscience Be Your Guide
65	8127	false	true	false	Asking for Directions
66	8128	false	true	false	Onward
67	8129	false	true	false	Guardsman's Authority
68	8130	false	true	false	The Waiting Game
69	8131	false	true	false	Engineering a Meeting
70	8132	false	true	false	The Engineer's Assistant
71	8133	false	true	false	Freedom Seeker
72	8134	false	true	false	Winds of Freedom
73	8135	false	true	false	A Thorny Test
74	8136	false	true	false	To Redempton
75	8137	false	true	false	The Elders' Doubt
76	8138	false	true	false	Earning Atonement
77	8139	false	true	false	Understanding Sorrow
78	8140	false	true	false	Another New Dream
79	8141	false	true	false	Clear Name, Cloudy Conscience
80	8142	false	true	false	The Ritual of Atonement
81	8143	false	true	false	A New Perspective
82	8144	false	true	false	Razorbone
83	8145	false	true	false	Razor's Edge
84	8146	false	true	false	Making Good on a Promise
85	8147	false	true	false	The Mother's Temple
86	8148	false	true	false	Now Hiring
87	8149	false	true	false	Temple Tranquility
88	8150	false	true	false	Motherly Meditation
89	8151	false	true	false	Leaving Temple Service
90	8152	false	true	false	A Final Test
91	8153	false	true	false	The Consequences of Bad News
92	8154	false	true	false	A Gesture of Kinship
93	8155	false	true	false	Always It Is Dawn
94	8219	false	true	false	Entering a Bramble
95	8220	false	true	false	Returning to Razorbone
96	8225	false	true	false	A New Race Dawns
97	8227	false	true	false	Truly Tenacious
